1.0: [-2.393, 3.347]
1.0: [-4.364, 1.905]
1.0: [2.177, 6.773]
1.0: [-2.479, 2.534]
1.0: [5.663, 6.868]
1.0: [-0.559, 1.223]
1.0: [1.912, 2.959]
1.0: [-2.497, 2.050]
1.0: [-0.794, 7.172]
1.0: [-1.088, 7.553]
1.0: [5.170, 6.433]
1.0: [-2.362, 2.036]
1.0: [0.826, 1.642]
1.0: [-0.844, 1.388]
1.0: [-3.143, 2.804]
1.0: [0.793, 1.093]
1.0: [1.104, 2.254]
1.0: [2.334, 3.291]
1.0: [-0.505, 1.543]
1.0: [-0.713, 10.425]
1.0: [-1.935, 3.517]
1.0: [-0.288, 1.217]
1.0: [0.797, 3.732]
1.0: [1.197, 2.725]
1.0: [-1.750, 5.074]
1.0: [1.865, 1.777]
1.0: [0.098, 1.989]
1.0: [2.699, 3.242]
1.0: [2.454, 3.407]
1.0: [-3.797, 2.548]
1.0: [1.520, 3.032]
1.0: [-1.910, 5.650]
1.0: [-0.110, 3.163]
1.0: [-0.529, 3.702]
1.0: [2.258, 6.539]
1.0: [0.130, 1.468]
1.0: [2.615, 6.425]
1.0: [-3.292, 3.906]
1.0: [-1.434, 1.704]
1.0: [1.020, 4.700]
1.0: [-0.782, 1.468]
1.0: [-4.005, 2.575]
1.0: [-0.934, 2.386]
1.0: [-0.393, 2.253]
1.0: [2.634, 3.542]
1.0: [-2.572, 1.605]
1.0: [0.352, 4.373]
1.0: [2.306, 4.214]
1.0: [1.701, 3.117]
1.0: [0.713, 2.935]
1.0: [1.517, 6.520]
1.0: [1.279, 3.667]
1.0: [-0.201, 4.282]
1.0: [3.920, 4.859]
1.0: [0.993, 1.741]
1.0: [-1.899, 2.697]
1.0: [1.524, 5.421]
1.0: [4.501, 8.245]
1.0: [-0.235, 1.129]
1.0: [0.221, 2.285]
1.0: [4.498, 5.810]
1.0: [-1.077, 7.667]
1.0: [3.372, 4.328]
1.0: [1.456, 4.824]
1.0: [-0.020, 4.531]
1.0: [-0.783, 1.585]
1.0: [0.765, 5.889]
1.0: [-1.263, 5.847]
1.0: [-4.679, 5.283]
1.0: [2.195, 4.732]
1.0: [0.430, 3.495]
1.0: [1.623, 3.019]
1.0: [-2.953, 2.610]
1.0: [-1.957, 1.640]
1.0: [6.662, 7.948]
1.0: [-2.558, 1.740]
1.0: [0.021, 5.319]
1.0: [-1.786, 1.743]
1.0: [-0.211, 3.485]
1.0: [-3.666, 1.527]
1.0: [-0.405, 1.869]
1.0: [1.266, 2.089]
1.0: [-0.937, 0.951]
1.0: [-1.298, 1.596]
1.0: [-2.124, 5.010]
1.0: [-1.998, 4.860]
1.0: [0.792, 5.469]
1.0: [3.730, 5.781]
1.0: [-1.204, 2.821]
1.0: [-4.416, 4.749]
1.0: [1.199, 7.286]
1.0: [1.974, 6.006]
1.0: [-0.167, 4.613]
1.0: [-0.344, 1.520]
1.0: [-2.221, 3.208]
1.0: [0.217, 3.358]
1.0: [-5.457, 1.617]
1.0: [-1.447, 3.500]
1.0: [0.488, 1.965]
1.0: [-2.740, 2.479]
1.0: [-1.749, 2.861]
1.0: [5.113, 8.129]
1.0: [-2.996, 3.013]
1.0: [1.520, 2.787]
1.0: [1.283, 4.414]
1.0: [1.785, 1.951]
1.0: [1.176, 3.453]
1.0: [1.360, 5.443]
1.0: [-0.787, 3.217]
1.0: [-4.489, 3.977]
1.0: [1.716, 2.467]
1.0: [0.919, 3.375]
1.0: [0.808, 2.693]
1.0: [-1.253, 2.611]
1.0: [-1.397, 2.054]
1.0: [-1.714, 1.728]
1.0: [-1.356, 3.539]
1.0: [-2.901, 4.366]
1.0: [-1.379, 2.133]
1.0: [1.124, 3.682]
1.0: [-1.691, 5.961]
1.0: [-1.545, 4.243]
1.0: [-0.491, 0.984]
1.0: [-0.135, 5.712]
1.0: [-0.248, 4.916]
1.0: [2.486, 3.437]
1.0: [-4.007, 1.041]
1.0: [-0.231, 2.497]
1.0: [-2.379, 3.104]
1.0: [-0.102, 5.731]
1.0: [2.453, 8.987]
1.0: [-8.225, 2.152]
1.0: [-1.097, 4.277]
1.0: [-4.355, 5.253]
1.0: [-2.404, 4.448]
1.0: [0.344, 1.597]
1.0: [0.505, 3.898]
1.0: [-1.547, 1.351]
1.0: [-4.255, 6.154]
1.0: [1.427, 5.187]
1.0: [-0.914, 1.851]
1.0: [-0.412, 6.773]
1.0: [-2.243, 3.781]
1.0: [2.979, 3.859]
1.0: [-0.447, 2.209]
1.0: [1.280, 4.788]
1.0: [0.313, 5.187]
1.0: [-3.412, 3.724]
1.0: [0.936, 4.921]
1.0: [-4.893, 3.029]
1.0: [-0.440, 2.660]
1.0: [0.709, 2.602]
1.0: [-5.115, 1.066]
1.0: [0.476, 6.048]
1.0: [-1.823, 4.549]
1.0: [-3.013, 3.078]
1.0: [1.992, 4.193]
1.0: [0.773, 1.770]
1.0: [-0.366, 1.104]
1.0: [0.443, 1.687]
1.0: [0.123, 1.959]
1.0: [-0.027, 2.084]
1.0: [-0.153, 2.450]
1.0: [-0.006, 2.093]
1.0: [0.041, 2.126]
1.0: [0.101, 1.885]
1.0: [0.245, 2.187]
1.0: [0.114, 1.982]
1.0: [0.003, 2.349]
1.0: [-0.029, 2.100]
1.0: [0.019, 1.993]
1.0: [0.011, 2.104]
1.0: [0.058, 2.079]
1.0: [-0.021, 2.088]
1.0: [0.157, 2.139]
1.0: [-0.283, 1.926]
1.0: [0.050, 2.364]
1.0: [0.058, 2.232]
1.0: [0.054, 1.930]
1.0: [-0.020, 2.319]
1.0: [-0.056, 1.734]
1.0: [-0.012, 1.943]
1.0: [0.007, 1.892]
1.0: [-0.148, 2.362]
1.0: [-0.054, 1.454]
1.0: [0.145, 2.137]
1.0: [-0.189, 2.214]
1.0: [-0.191, 1.737]
1.0: [-0.087, 2.160]
1.0: [-0.004, 2.285]
1.0: [0.043, 2.127]
1.0: [-0.000, 1.874]
1.0: [-0.001, 1.844]
1.0: [-0.086, 1.736]
1.0: [0.011, 2.202]
1.0: [-0.096, 1.774]
1.0: [-0.222, 1.870]
1.0: [0.041, 1.860]
1.0: [0.009, 2.305]
1.0: [0.094, 1.937]
1.0: [-0.016, 2.001]
1.0: [0.014, 1.842]
1.0: [-0.011, 2.106]
1.0: [0.118, 1.863]
1.0: [0.123, 1.876]
1.0: [0.022, 2.132]
1.0: [0.045, 2.079]
1.0: [0.091, 2.034]
1.0: [-0.013, 2.056]
1.0: [0.074, 1.741]
1.0: [-0.012, 2.262]
1.0: [-0.085, 2.075]
1.0: [0.004, 1.939]
1.0: [-0.045, 1.916]
1.0: [-0.083, 2.456]
1.0: [-0.056, 2.012]
1.0: [-0.058, 2.044]
1.0: [0.138, 2.091]
1.0: [-0.107, 1.992]
1.0: [-0.118, 1.765]
1.0: [-0.023, 2.073]
1.0: [0.222, 1.822]
1.0: [0.061, 1.901]
1.0: [-0.037, 2.302]
1.0: [0.126, 2.138]
1.0: [-0.017, 1.648]
1.0: [-0.031, 1.952]
1.0: [-0.044, 2.128]
1.0: [-0.136, 2.088]
1.0: [0.174, 1.773]
1.0: [0.183, 2.004]
1.0: [0.070, 1.768]
1.0: [-0.006, 1.915]
1.0: [0.026, 1.919]
1.0: [-0.004, 1.870]
1.0: [-0.005, 1.829]
1.0: [-0.110, 2.165]
1.0: [0.089, 2.039]
1.0: [0.014, 2.254]
1.0: [-0.029, 2.213]
1.0: [-0.090, 1.974]
1.0: [0.003, 1.941]
1.0: [-0.217, 1.836]
1.0: [0.233, 2.166]
1.0: [0.079, 1.862]
1.0: [0.137, 2.135]
1.0: [-0.075, 1.964]
1.0: [-0.004, 2.156]
1.0: [-0.198, 1.975]
1.0: [0.171, 2.042]
1.0: [-0.029, 2.245]
1.0: [-0.125, 2.149]
1.0: [0.054, 2.132]
1.0: [-0.077, 1.986]
1.0: [-0.038, 2.277]
1.0: [0.096, 1.947]
1.0: [0.008, 2.360]
1.0: [0.051, 2.049]
1.0: [0.038, 2.121]
1.0: [0.137, 1.976]
1.0: [-0.067, 2.229]
1.0: [0.159, 1.869]
1.0: [0.060, 1.952]
1.0: [0.077, 1.976]
1.0: [-0.053, 1.908]
1.0: [-0.129, 2.400]
1.0: [0.064, 2.394]
1.0: [0.096, 1.903]
1.0: [0.103, 2.148]
1.0: [-0.040, 1.766]
1.0: [0.120, 1.925]
1.0: [-0.108, 1.892]
1.0: [0.055, 1.412]
1.0: [-0.003, 1.892]
1.0: [-0.048, 2.052]
1.0: [-0.074, 2.112]
1.0: [0.040, 2.013]
1.0: [-0.133, 1.780]
1.0: [0.138, 2.111]
1.0: [-0.026, 2.214]
1.0: [-0.038, 1.983]
1.0: [0.093, 1.731]
1.0: [-0.283, 2.234]
1.0: [-0.113, 2.235]
1.0: [0.042, 2.273]
1.0: [-0.058, 1.750]
1.0: [-0.064, 2.260]
1.0: [0.056, 2.174]
1.0: [0.020, 2.218]
1.0: [-0.067, 2.215]
1.0: [-0.013, 1.745]
1.0: [0.008, 1.925]
1.0: [0.044, 2.013]
1.0: [0.098, 1.848]
1.0: [-0.114, 2.323]
1.0: [0.095, 2.025]
1.0: [-0.323, 2.182]
1.0: [-0.072, 2.205]
1.0: [0.098, 1.895]
1.0: [-0.032, 2.237]
1.0: [0.113, 2.055]
1.0: [-0.080, 2.147]
1.0: [-0.010, 1.980]
1.0: [0.123, 1.781]
1.0: [-0.073, 1.819]
1.0: [-0.011, 1.950]
1.0: [-0.035, 2.176]
1.0: [-0.058, 1.682]
1.0: [0.045, 2.237]
1.0: [-0.104, 2.094]
1.0: [0.164, 2.093]
1.0: [-0.102, 1.891]
1.0: [-0.068, 2.426]
1.0: [-0.026, 2.053]
1.0: [-0.019, 2.106]
1.0: [0.187, 2.074]
1.0: [0.182, 1.770]
1.0: [-0.039, 1.823]
1.0: [0.119, 1.998]
1.0: [0.133, 1.843]
1.0: [-0.044, 1.997]
1.0: [-0.001, 1.930]
1.0: [-0.012, 2.078]
1.0: [-0.027, 2.281]
1.0: [-0.025, 1.904]
1.0: [0.019, 2.209]
1.0: [0.033, 2.166]
1.0: [-0.008, 1.799]
1.0: [-0.132, 2.366]
1.0: [0.019, 1.826]
1.0: [0.049, 2.071]
1.0: [0.093, 2.356]
1.0: [0.190, 1.912]
1.0: [-0.025, 2.224]
1.0: [0.040, 1.905]
1.0: [0.129, 1.952]
1.0: [0.020, 1.928]
1.0: [-0.045, 2.172]
1.0: [-0.062, 2.012]
1.0: [-0.063, 2.088]
1.0: [0.032, 1.970]
1.0: [0.137, 2.357]
1.0: [0.028, 1.725]
1.0: [0.006, 2.391]
1.0: [0.059, 1.994]
1.0: [-0.082, 1.965]
1.0: [0.022, 2.121]
1.0: [-0.033, 2.122]
1.0: [-0.029, 1.988]
1.0: [-0.021, 1.842]
1.0: [0.246, 2.069]
1.0: [0.051, 2.089]
1.0: [0.013, 1.751]
1.0: [0.231, 2.242]
1.0: [0.015, 2.017]
1.0: [0.019, 1.925]
1.0: [-0.099, 1.846]
1.0: [-0.071, 2.032]
1.0: [-0.078, 2.005]
1.0: [0.174, 2.346]
1.0: [-0.100, 1.190]
1.0: [0.078, 2.260]
1.0: [0.068, 2.228]
1.0: [0.034, 1.699]
1.0: [0.017, 1.765]
1.0: [0.011, 2.113]
1.0: [0.011, 1.755]
1.0: [-0.079, 1.956]
1.0: [0.044, 2.181]
1.0: [0.005, 2.295]
1.0: [-0.035, 2.259]
1.0: [-0.093, 1.968]
1.0: [0.044, 2.009]
1.0: [0.001, 2.129]
1.0: [-0.050, 1.865]
1.0: [-0.132, 2.117]
1.0: [0.269, 1.848]
1.0: [-0.085, 1.940]
1.0: [-0.024, 1.871]
1.0: [-0.039, 1.660]
1.0: [-0.098, 1.854]
1.0: [0.123, 1.603]
1.0: [0.057, 2.147]
1.0: [-0.148, 1.961]
1.0: [-0.156, 2.079]
1.0: [-0.071, 1.899]
1.0: [-0.020, 2.019]
1.0: [0.038, 1.821]
1.0: [0.050, 1.609]
1.0: [-0.079, 1.797]
1.0: [0.027, 1.865]
1.0: [-0.069, 1.870]
1.0: [0.026, 1.601]
1.0: [-0.033, 1.832]
1.0: [0.096, 2.029]
1.0: [0.012, 2.054]
1.0: [0.066, 1.845]
1.0: [-0.065, 1.604]
1.0: [0.198, 2.164]
1.0: [0.049, 2.059]
1.0: [-0.047, 2.379]
1.0: [-0.274, 1.913]
1.0: [0.034, 1.742]
1.0: [-0.252, 2.019]
1.0: [-0.039, 1.951]
1.0: [-0.146, 2.297]
1.0: [-0.143, 2.380]
1.0: [0.022, 2.041]
1.0: [-0.054, 2.387]
1.0: [0.101, 2.101]
1.0: [0.031, 2.116]
1.0: [-0.017, 2.133]
1.0: [0.141, 2.120]
1.0: [0.042, 2.074]
1.0: [0.017, 2.047]
1.0: [-0.067, 1.968]
1.0: [0.052, 1.724]
1.0: [-0.059, 2.108]
1.0: [0.104, 2.233]
1.0: [0.186, 2.061]
1.0: [0.007, 1.842]
1.0: [-0.052, 1.732]
1.0: [0.049, 1.786]
1.0: [0.058, 2.221]
1.0: [-0.044, 2.136]
1.0: [0.024, 2.323]
1.0: [-0.056, 1.953]
1.0: [-0.027, 2.190]
1.0: [0.015, 2.045]
1.0: [0.030, 2.060]
1.0: [-0.030, 2.211]
1.0: [0.014, 2.247]
1.0: [0.086, 1.999]
1.0: [-0.071, 2.073]
1.0: [-0.047, 1.970]
1.0: [-0.016, 1.399]
1.0: [-0.078, 1.994]
1.0: [0.093, 2.028]
1.0: [-0.076, 2.063]
1.0: [0.160, 2.035]
1.0: [0.032, 2.057]
1.0: [-0.032, 1.542]
1.0: [-0.083, 1.567]
1.0: [-0.028, 1.545]
1.0: [-0.176, 1.917]
1.0: [-0.034, 1.810]
1.0: [0.053, 2.327]
1.0: [0.084, 2.225]
1.0: [-0.009, 1.959]
1.0: [-0.163, 2.200]
1.0: [0.038, 2.217]
1.0: [-0.041, 2.094]
1.0: [0.111, 2.016]
1.0: [0.158, 2.372]
1.0: [-0.096, 1.344]
1.0: [0.038, 2.046]
1.0: [0.034, 2.081]
1.0: [-0.011, 2.334]
1.0: [-0.080, 1.667]
1.0: [0.039, 2.298]
